county,color
"Stark, IL",#2FC169
"Marshall, IL",#2FC169
"Putnam, IL",#0F934A
"Livingston, IL",#2FC169
"Kankakee, IL",#2FC169
"Grundy, IL",#0CA44D
"Will, IL",#54CC84
"Kendall, IL",#2FC169
"LaSalle, IL",#2FC169
"Bureau, IL",#2FC169
"Henry, IL",#2FC169
"Rock Island, IL",#2FC169
"Lee, IL",#2FC169
"Whiteside, IL",#2FC169
"Carroll, IL",#0CA44D
"Ogle, IL",#0CA44D
"DeKalb, IL",#2FC169
"Kane, IL",#2FC169
"DuPage, IL",#2FC169
"Cook, IL",#54CC84
"Lake, IL",#2FC169
"McHenry, IL",#2FC169
"Boone, IL",#2FC169
"Winnebago, IL",#54CC84
"Stephenson, IL",#FFFFFF
"Jo Daviess, IL",#2FC169
"Porter, IN",#2FC169
"Lake, IN",#2FC169
"Perry, IN",#2FC169
"Spencer, IN",#2FC169
"Warrick, IN",#2FC169
"Vanderburgh, IN",#0F934A
"Posey, IN",#2FC169
"Gibson, IN",#0CA44D
"Pike, IN",#2FC169
"Dubois, IN",#2FC169
"Crawford, IN",#54CC84
"Harrison, IN",#2FC169
"Floyd, IN",#2FC169
"Clark, IN",#0CA44D
"Ohio, IN",#0F934A
"Switzerland, IN",#FFFFFF
"Jefferson, IN",#2FC169
"Scott, IN",#2FC169
"Washington, IN",#2FC169
"Orange, IN",#2FC169
"Martin, IN",#2FC169
"Daviess, IN",#2FC169
"Knox, IN",#2FC169
"Sullivan, IN",#FFFFFF
"Greene, IN",#0CA44D
"Lawrence, IN",#2FC169
"Jackson, IN",#2FC169
"Jennings, IN",#2FC169
"Ripley, IN",#2FC169
"Dearborn, IN",#2FC169
"Franklin, IN",#2FC169
"Decatur, IN",#2FC169
"Bartholomew, IN",#2FC169
"Brown, IN",#2FC169
"Monroe, IN",#2FC169
"Owen, IN",#2FC169
"Clay, IN",#0CA44D
"Vigo, IN",#78D79E
"Vermillion, IN",#0F934A
"Parke, IN",#2FC169
"Putnam, IN",#0F934A
"Morgan, IN",#2FC169
"Johnson, IN",#2FC169
"Shelby, IN",#2FC169
"Rush, IN",#2FC169
"Fayette, IN",#2FC169
"Union, IN",#137046
"Wayne, IN",#2FC169
"Henry, IN",#2FC169
"Hancock, IN",#2FC169
"Marion, IN",#2FC169
"Hendricks, IN",#2FC169
"Boone, IN",#2FC169
"Hamilton, IN",#2FC169
"Randolph, IN",#0F934A
"Delaware, IN",#2FC169
"Madison, IN",#2FC169
"Tipton, IN",#FFFFFF
"Clinton, IN",#0CA44D
"Montgomery, IN",#2FC169
"Fountain, IN",#2FC169
"Jay, IN",#2FC169
"Blackford, IN",#2FC169
"Grant, IN",#0CA44D
"Howard, IN",#54CC84
"Carroll, IN",#0CA44D
"Tippecanoe, IN",#FFFFFF
"Warren, IN",#2FC169
"Benton, IN",#2FC169
"Adams, IN",#FFFFFF
"Wells, IN",#2FC169
"Huntington, IN",#54CC84
"Wabash, IN",#2FC169
"Miami, IN",#2FC169
"Cass, IN",#0CA44D
"White, IN",#2FC169
"Allen, IN",#0F934A
"Whitley, IN",#2FC169
"Fulton, IN",#2FC169
"Pulaski, IN",#0F934A
"DeKalb, IN",#2FC169
"Noble, IN",#54CC84
"Kosciusko, IN",#2FC169
"Marshall, IN",#2FC169
"Starke, IN",#2FC169
"Jasper, IN",#2FC169
"Newton, IN",#78D79E
"Steuben, IN",#FFFFFF
"LaGrange, IN",#2FC169
"Elkhart, IN",#2FC169
"St. Joseph, IN",#2FC169
"LaPorte, IN",#2FC169
"Scott, IA",#2FC169
"Clinton, IA",#0CA44D
"Lyon, IA",#2FC169
"Sioux, IA",#2FC169
"Plymouth, IA",#2FC169
"Cherokee, IA",#0CA44D
"O Brien, IA",#0CA44D
"Osceola, IA",#2FC169
"Dickinson, IA",#2FC169
"Clay, IA",#0CA44D
"Buena Vista, IA",#2FC169
"Pocahontas, IA",#2FC169
"Palo Alto, IA",#2FC169
"Emmet, IA",#2FC169
"Kossuth, IA",#2FC169
"Humboldt, IA",#54CC84
"Woodbury, IA",#54CC84
"Ida, IA",#2FC169
"Sac, IA",#2FC169
"Calhoun, IA",#0CA44D
"Webster, IA",#2FC169
"Greene, IA",#0CA44D
"Carroll, IA",#0CA44D
"Crawford, IA",#54CC84
"Monona, IA",#2FC169
"Harrison, IA",#2FC169
"Shelby, IA",#2FC169
"Audubon, IA",#78D79E
"Guthrie, IA",#2FC169
"Adair, IA",#FFFFFF
"Cass, IA",#0CA44D
"Pottawattamie, IA",#2FC169
"Fremont, IA",#2FC169
"Mills, IA",#2FC169
"Montgomery, IA",#2FC169
"Page, IA",#2FC169
"Taylor, IA",#FFFFFF
"Adams, IA",#FFFFFF
"Union, IA",#137046
"Ringgold, IA",#2FC169
"Decatur, IA",#2FC169
"Clarke, IA",#0CA44D
"Madison, IA",#2FC169
"Dallas, IA",#2FC169
"Boone, IA",#2FC169
"Hamilton, IA",#2FC169
"Wright, IA",#54CC84
"Hancock, IA",#2FC169
"Winnebago, IA",#54CC84
"Worth, IA",#54CC84
"Cerro Gordo, IA",#0CA44D
"Franklin, IA",#2FC169
"Hardin, IA",#2FC169
"Story, IA",#FFFFFF
"Polk, IA",#2FC169
"Warren, IA",#2FC169
"Lucas, IA",#2FC169
"Wayne, IA",#2FC169
"Appanoose, IA",#0F934A
"Monroe, IA",#2FC169
"Marion, IA",#2FC169
"Jasper, IA",#2FC169
"Marshall, IA",#2FC169
"Grundy, IA",#0CA44D
"Butler, IA",#2FC169
"Floyd, IA",#2FC169
"Mitchell, IA",#2FC169
"Howard, IA",#54CC84
"Chickasaw, IA",#0CA44D
"Bremer, IA",#2FC169
"Black Hawk, IA",#2FC169
"Tama, IA",#FFFFFF
"Poweshiek, IA",#2FC169
"Mahaska, IA",#2FC169
"Wapello, IA",#2FC169
"Davis, IA",#2FC169
"Van Buren, IA",#0F934A
"Jefferson, IA",#2FC169
"Benton, IA",#2FC169
"Iowa, IA",#2FC169
"Keokuk, IA",#2FC169
"Washington, IA",#2FC169
"Henry, IA",#2FC169
"Lee, IA",#2FC169
"Des Moines, IA",#2FC169
"Louisa, IA",#2FC169
"Muscatine, IA",#2FC169
"Johnson, IA",#2FC169
"Linn, IA",#2FC169
"Cedar, IA",#0CA44D
"Jones, IA",#2FC169
"Buchanan, IA",#2FC169
"Fayette, IA",#2FC169
"Winneshiek, IA",#54CC84
"Allamakee, IA",#0F934A
"Clayton, IA",#0CA44D
"Delaware, IA",#2FC169
"Dubuque, IA",#2FC169
"Jackson, IA",#2FC169
"Doniphan, KS",#2FC169
"Brown, KS",#2FC169
"Stanton, KS",#2FC169
"Morton, KS",#2FC169
"Stevens, KS",#FFFFFF
"Grant, KS",#0CA44D
"Haskell, KS",#2FC169
"Seward, KS",#2FC169
"Meade, KS",#2FC169
"Gray, KS",#0CA44D
"Ford, KS",#2FC169
"Clark, KS",#0CA44D
"Comanche, KS",#54CC84
"Kiowa, KS",#2FC169
"Edwards, KS",#2FC169
"Pratt, KS",#0F934A
"Barber, KS",#2FC169
